Total Active,Total Recovered,Total Deaths,Total confirmed,Country
9277,162741,7698,179716,Afghanistan
242,272125,3497,275864,Albania
80593,178386,6875,265854,Algeria
662,41757,153,42572,Andorra
145,97149,1900,99194,Angola
65,3042,9,3116,Anguilla
181,7623,138,7942,Antigua and Barbuda
110533,8895999,128776,9135308,Argentina
2075,412240,8624,422939,Armenia
295,35808,213,36316,Aruba
411378,6563517,8109,6983004,Australia
43273,4173311,18599,4235183,Austria
52,782945,9710,792707,Azerbaijan
871,32593,810,34274,Bahamas
4419,575470,1482,581371,Bahrain
23141,1900964,29128,1953233,Bangladesh
4282,74197,440,78919,Barbados
,,6978,6978,Belarus
111738,3990880,31675,4134293,Belgium
856,56886,677,58419,Belize
1283,25506,163,26952,Benin
360,13945,137,14442,Bermuda
44,59509,21,59574,Bhutan
19601,865679,21944,907224,Bolivia
,,15783,15783,Bosnia and Herzegovina
303,303619,2692,306614,Botswana
293521,29832019,665680,30791220,Brazil
,,62,62,British Virgin Islands
1613,144672,221,146506,Brunei
83681,1042639,37093,1163413,Bulgaria
32,20439,382,20853,Burkina Faso
,,38,38,Burundi
102,55669,401,56172,Cabo Verde
5,133201,3056,136262,Cambodia
62,117791,1927,119780,Cameroon
289416,3516903,40679,3846998,Canada
65,9886,35,9986,Caribbean Netherlands
15896,8553,28,24477,Cayman Islands
2348,4874,193,7415,Chad
612,74979,176,75767,Channel Islands
101344,3483990,57802,3643136,Chile
4275,213834,5223,223332,China
28733,5930545,139833,6099111,Colombia
7,7933,160,8100,Comoros
109,5433,1,5543,Cook Islands
21026,848035,8472,877533,Costa Rica
3106,1115160,15966,1134232,Croatia
333,1096117,8529,1104979,Cuba
352309,124370,1032,477711,Cyprus
1607,3876254,40266,3918127,Czechia
479402,2334910,68,2814380,DPRK
35365,50930,1338,87633,Democratic Republic of the Congo
7052,2965874,6312,2979238,Denmark
15,15427,189,15631,Djibouti
588,12465,63,13116,Dominica
629,576147,4377,581153,Dominican Republic
,,35617,35617,Ecuador
48850,442182,24613,515645,Egypt
7297,150662,4130,162089,El Salvador
23,15704,183,15910,Equatorial Guinea
11,9640,103,9754,Eritrea
55897,516588,2561,575046,Estonia
447,70299,1404,72150,Eswatini
8051,455810,7512,471373,Ethiopia
,,,0,Falkland Islands
,,28,28,Faroe Islands
1048,62931,862,64841,Fiji
,,4406,4406,Finland
664202,28542968,147780,29354950,France
70662,11254,397,82313,French Guiana
,,649,649,French Polynesia
15,47303,304,47622,Gabon
43,11591,365,11999,Gambia
1117,1637293,16811,1655221,Georgia
1238305,24708600,138712,26085617,Germany
41,159865,1445,161351,Ghana
1592,16579,102,18273,Gibraltar
48936,3341372,29690,3419998,Greece
9189,2761,21,11971,Greenland
1042,15969,223,17234,Grenada
137026,2250,854,140130,Guadeloupe
2666,835876,17954,856496,Guatemala
42,36113,442,36597,Guinea
46,8029,171,8246,Guinea-Bissau
589,62456,1231,64276,Guyana
260,29651,835,30746,Haiti
281474,132401,10896,424771,Honduras
,,9370,9370,Hong Kong
37448,1830803,46446,1914697,Hungary
,,153,153,Iceland
14832,42599102,524459,43138393,India
2890,5893340,156534,6052764,Indonesia
53242,7035798,141281,7230321,Iran
1134,2300919,25216,2327269,Iraq
20667,1523924,7244,1551835,Ireland
1517,26794,105,28416,Isle of Man
13927,4096572,10827,4121326,Israel
850596,16231004,165952,17247552,Italy
32,81213,799,82044,Ivory Coast
45583,86045,3032,134660,Jamaica
345113,8243263,30307,8618683,Japan
1227,1678941,14048,1694216,Jordan
151,1291885,13661,1305697,Kazakhstan
315,318276,5651,324242,Kenya
483,2602,13,3098,Kiribati
531,629695,2555,632781,Kuwait
1596,196406,2991,200993,Kyrgyzstan
,,754,754,Laos
2541,818845,5815,827201,Latvia
2404,1085682,10417,1098503,Lebanon
8058,24155,697,32910,Lesotho
1414,5747,294,7455,Liberia
4501,490973,6430,501904,Libya
41,17282,84,17407,Liechtenstein
17139,1035276,9134,1061549,Lithuania
7170,235939,1073,244182,Luxembourg
0,7,2,9,MS Zaandam
0,82,,82,Macao
3551,59370,1393,64314,Madagascar
492,82799,2638,85929,Malawi
26511,4429166,35643,4491320,Malaysia
15575,163687,298,179560,Maldives
161,30161,734,31056,Mali
2155,91240,718,94113,Malta
3,14,,17,Marshall Islands
152223,104,926,153253,Martinique
267,57776,982,59025,Mauritania
670,36289,996,37955,Mauritius
34372,2964,187,37523,Mayotte
377404,5050420,324617,5752441,Mexico
6,1,,7,Micronesia
2108,504142,11503,517753,Moldova
69,11983,57,12109,Monaco
154450,313256,2179,469885,Mongolia
640,233362,2719,236721,Montenegro
162,749,4,915,Montserrat
952,1149601,16075,1166628,Morocco
97,223279,2201,225577,Mozambique
1602,592186,19434,613222,Myanmar
3003,157815,4032,164850,Namibia
3,5,,8,Nauru
141,966975,11952,979068,Nepal
39591,8013297,22306,8075194,Netherlands
582,60620,312,61514,New Caledonia
54517,1049783,1017,1105317,New Zealand
14041,4225,225,18491,Nicaragua
93,8628,310,9031,Niger
2798,249996,3143,255937,Nigeria
0,9,,9,Niue
541,301361,9297,311199,North Macedonia
,,3094,3094,Norway
544,384669,4260,389473,Oman
5314,1494141,30379,1529834,Pakistan
721,4240,6,4967,Palau
127,576764,5355,582246,Palestine
28014,794046,8227,830287,Panama
17,43726,651,44394,Papua New Guinea
6725,624673,18885,650283,Paraguay
,,213106,213106,Peru
2252,3626234,60455,3688941,Philippines
554066,5335262,116268,6005596,Poland
,,22583,22583,Portugal
1057,365538,677,367272,Qatar
3516,20178,385,24079,Republic of the Congo
,,65652,65652,Romania
225162,17694020,378426,18297608,Russia
82997,45522,1459,129978,Rwanda
,,6,6,Saint Barthélemy
0,2,,2,Saint Helena
56,5570,43,5669,Saint Kitts and Nevis
829,23758,370,24957,Saint Lucia
9140,1399,63,10602,Saint Martin
298,2449,1,2748,Saint Pierre Miquelon
101,6641,106,6848,Saint Vincent and the Grenadines
10752,1605,25,12382,Samoa
196,16680,115,16991,San Marino
3,5897,73,5973,Sao Tome and Principe
6420,747492,9130,763042,Saudi Arabia
21,84086,1966,86073,Senegal
6941,1992080,16065,2015086,Serbia
522,43040,167,43729,Seychelles
,,125,125,Sierra Leone
79429,1188831,1375,1269635,Singapore
35,10068,86,10189,Sint Maarten
3303,1765106,20081,1788490,Slovakia
7565,1008163,6628,1022356,Slovenia
1671,16357,146,18174,Solomon Islands
11989,13182,1350,26521,Somalia
89396,3739543,100933,3929872,South Africa
529582,17414103,23987,17967672,South Korea
3921,13514,138,17573,South Sudan
511851,11620275,105947,12238073,Spain
309,646937,16512,663758,Sri Lanka
,,4937,4937,Sudan
29435,49466,1339,80240,Suriname
7216,2480483,18908,2506607,Sweden
49052,3579618,13934,3642604,Switzerland
128,52601,3150,55879,Syria
1212669,172535,1436,1386640,Taiwan
0,17264,124,17388,Tajikistan
,,840,840,Tanzania
51003,4334812,29778,4415593,Thailand
11,22748,131,22890,Timor-Leste
26,36747,273,37046,Togo
614,10875,11,11500,Tonga
9529,144803,3893,158225,Trinidad and Tobago
,,28628,28628,Tunisia
3449,14959906,98926,15062281,Turkey
35,6026,36,6097,Turks and Caicos
13910,888939,2302,905151,UAE
224422,21836316,177977,22238715,UK
2343367,81632147,1028924,85004438,USA
60268,100205,3596,164069,Uganda
,,108497,108497,Ukraine
2893,892434,7213,902540,Uruguay
142,237161,1637,238940,Uzbekistan
358,8287,14,8659,Vanuatu
0,29,,29,Vatican City
1121,516506,5716,523343,Venezuela
1263766,9402046,43075,10708887,Vietnam
9,438,7,454,Wallis and Futuna
0,9,1,10,Western Sahara
23449621,498056467,6300785,527806873,World
661,9009,2149,11819,Yemen
643,316518,3985,321146,Zambia
2115,243033,5494,250642,Zimbabwe
