Country,Confirmed Cases,Active Cases,New Cases,Critical Cases,New Deaths,Total Deaths,Recovered Cases,Test/ 1M pop,Total Cases/1M pop,Total Deaths/1M Pop,Tests Performed,Continent,iso_alpha
Mali,31056,161,,,,734,30161,31847,1455,34,679917,Africa,MLI
Chad,7415,2348,,,,193,4874,11051,428,11,191341,Africa,TCD
Zambia,321146,643,,,,3985,316518,179149,16594,206,3467200,Africa,ZMB
Malawi,85929,492,,67,,2638,82799,28963,4283,131,581024,Africa,MWI
Benin,26952,1283,,5,,163,25506,47504,2119,13,604310,Africa,BEN
Liberia,7455,1414,,2,,294,5747,26474,1412,56,139824,Africa,LBR
Ghana,161351,41,,1,,1445,159865,75776,4996,45,2447185,Africa,GHA
Sudan,62211,,,,,4937,,12297,1359,108,562941,Africa,SDN
Sierra Leone,7682,,,,,125,,31386,927,15,259958,Africa,SLE
Zimbabwe,250642,2115,,12,,5494,243033,150954,16413,360,2305149,Africa,ZWE
Ivory Coast,82044,32,,,,799,81213,54834,2972,29,1513880,Africa,CIV
Burkina Faso,20853,32,,,,382,20439,11327,949,17,248995,Africa,BFA
Bangladesh,1953233,23141,,1259,,29128,1900964,83951,11642,174,14085376,Asia,BGD
Mongolia,469885,154450,,192,,2179,313256,1193114,139112,645,4030048,Asia,MNG
Hong Kong,1210396,,,5,,9370,,5908485,159020,1231,44972952,Asia,HKG
Armenia,422939,2075,22,,1,8624,412240,1038880,142228,2900,3089295,Asia,ARM
Philippines,3688941,2252,,480,,60455,3626234,267200,32840,538,30014296,Asia,PHL
Bhutan,59574,44,,,,21,59509,2924942,75638,27,2303734,Asia,BTN
Iraq,2327269,1134,,9,,25216,2300919,442644,601,18556850,55513,Middle East,IRQ
Turkey,15062281,3449,,975,,98926,14959906,1877316,1150,161541275,175043,Middle East,TUR
Iran,7230321,53242,268,649,7,141281,7035798,604890,1642,52031785,84055,Middle East,IRN
Israel,4121326,13927,,150,,10827,4096572,4436346,1161,41373364,441918,Middle East,ISR
Yemen,11819,661,,23,,2149,9009,8539,69,265253,380,Middle East,YEM
Cyprus,477711,352309,,60,,1032,124370,7743266,843,9477138,390312,Middle East,CYP
Bahrain,581371,4419,,26,,1482,575470,5414284,817,9815874,320675,Middle East,BHR
Saudi Arabia,763042,6420,,77,,9130,747492,1181218,255,42329395,21293,Middle East,SAU
Egypt,515645,48850,,122,,24613,442182,34853,232,3693367,4866,Middle East,EGY
Qatar,367272,1057,173,,,677,365538,1251827,241,3514885,130804,Middle East,QAT
Syria,55879,128,,,,3150,52601,7992,172,146269,3053,Middle East,SYR
Oman,389473,544,,2,,4260,384669,4671799,796,25000000,72782,Middle East,OMN
Guatemala,856496,2666,,5,,17954,835876,247355,46197,968,4585934,North America,GTM
Grenada,17234,1042,,4,,223,15969,1422871,151835,1965,161503,North America,GRD
Canada,3846998,289416,,370,,40679,3516903,1607663,100272,1060,61679093,North America,CAN
Barbados,78919,4282,,,,440,74197,2359508,273988,1528,679628,North America,BRB
Saint Pierre Miquelon,2748,298,,1,,1,2449,4143355,478662,174,23787,North America,SPM
United States,85004438,2343367,,2289,,1028924,81632147,3053760,254002,3075,1021971326,North America,USA
Haiti,30746,260,,,,835,29651,11353,2636,72,132422,North America,HTI
Antigua and Barbuda,7942,181,,1,,138,7623,190042,79854,1388,18901,North America,ATG
Montserrat,915,162,,,,4,749,2402961,183073,800,12010,North America,MSR
Costa Rica,877533,21026,,38,,8472,848035,866095,169350,1635,4487906,North America,CRI
Nicaragua,18491,14041,,,,225,4225,,2730,33,,North America,NIC
British Virgin Islands,6690,,,1,,62,,3394152,218556,2025,103895,North America,VGB
Jamaica,134660,45583,,,,3032,86045,353604,45104,1016,1055693,North America,JAM
Trinidad and Tobago,158225,9529,,18,,3893,144803,522825,112374,2765,736152,North America,TTO
Turks and Caicos,6097,35,,4,,36,6026,12896685,153561,907,512050,North America,TCA
El Salvador,162089,7297,,8,,4130,150662,297875,24754,631,1950448,North America,SLV
Saint Martin,10602,9140,,7,,63,1399,2816027,265661,1579,112382,North America,MAF
Anguilla,3116,65,,4,,9,3042,3368207,204261,590,51382,North America,AIA
Cayman Islands,24477,15896,,1,,28,8553,3316259,364371,417,222773,North America,CYM
Sint Maarten,10189,35,,10,,86,10068,1417030,232663,1964,62056,North America,SXM
New Zealand,1105317,54517,6067,,10,1017,1049783,1430034,220971,203,7153172,Oceania,NZL
Fiji,64841,1048,,,,862,62931,573255,71357,949,520908,Oceania,FJI
Australia,6983004,411378,34036,106,12,8109,6563517,2735497,267986,311,71279851,Oceania,AUS
Bolivia,907224,19601,,220,,21944,865679,225960,75772,1833,2705422,South America,BOL
Uruguay,902540,2893,,18,,7213,892434,1748884,258133,2063,6114822,South America,URY
Suriname,80240,29435,,,,1339,49466,396710,134510,2245,236652,South America,SUR
Libya,501904,4501,,101,,6430,490973,351511,71219,912,2477219,Africa,LBY
Mayotte,37523,34372,,,,187,2964,620303,131561,656,176919,Africa,MYT
Central African Republic,14649,7677,,2,,113,6859,16298,2937,23,81294,Africa,CAF
Morocco,1166628,952,,293,,16075,1149601,297788,30916,426,11237010,Africa,MAR
Namibia,164850,3003,,,,4032,157815,391904,62738,1534,1029765,Africa,NAM
Seychelles,43729,522,,,,167,43040,,439514,1678,,Africa,SYC
Djibouti,15631,15,,,,189,15427,301399,15399,186,305941,Africa,DJI
Ethiopia,471373,8051,,6,,7512,455810,40454,3917,62,4867783,Africa,ETH
Senegal,86073,21,,,,1966,84086,61903,4897,112,1087948,Africa,SEN
Guinea,36597,42,,8,,442,36113,47821,2651,32,660107,Africa,GIN
South Africa,3929872,89396,,192,,100933,3739543,412879,64724,1662,25069012,Africa,ZAF
Rwanda,129978,82997,,,,1459,45522,397323,9588,108,5386505,Africa,RWA
Gabon,47622,15,,,,304,47303,686285,20486,131,1595381,Africa,GAB
Gambia,11999,43,,,,365,11591,61184,4716,143,155686,Africa,GMB
Malaysia,4491320,26511,,40,,35643,4429166,1797371,135496,1075,59578095,Asia,MYS
Azerbaijan,792707,52,,,,9710,782945,666003,76877,942,6867409,Asia,AZE
Cambodia,136262,5,,,,3056,133201,172812,7943,178,2964585,Asia,KHM
Japan,8618683,345113,31262,96,15,30307,8243263,409241,68540,241,51460902,Asia,JPN
Maldives,179560,15575,,25,,298,163687,3964029,321516,534,2213831,Asia,MDV
Sri Lanka,663758,309,,,,16512,646937,300528,30755,765,6486117,Asia,LKA
China,223332,4275,187,193,1,5223,213834,111163,155,4,160000000,Asia,CHN
Thailand,4415593,51003,4099,1496,29,29778,4334812,246268,62963,425,17270775,Asia,THA
Myanmar,613222,1602,,,,19434,592186,147715,11130,353,8138688,Asia,MMR
Ecuador,874599,,,759,,35617,,136114,48193,1963,2470170,South America,ECU
Venezuela,523343,1121,,230,,5716,516506,118760,18503,202,3359014,South America,VEN
Madagascar,64314,3551,,6,,1393,59370,15012,2215,48,435827,Africa,MDG
Somalia,26521,11989,,,,1350,13182,23939,1585,81,400466,Africa,SOM
Sao Tome and Principe,5973,3,,,,73,5897,128010,26333,322,29036,Africa,STP
Algeria,265854,80593,,6,,6875,178386,5091,5863,152,230861,Africa,DZA
Cabo Verde,56172,102,,23,,401,55669,706744,99005,707,400982,Africa,CPV
Republic of the Congo,24079,3516,,,,385,20178,60239,4170,67,347815,Africa,COG
Western Sahara,10,0,,,,1,9,,16,2,,Africa,ESH
Cameroon,119780,62,,13,,1927,117791,63035,4310,69,1751774,Africa,CMR
Burundi,41606,,,,,38,,27532,3313,3,345742,Africa,BDI
Mozambique,225577,97,,13,,2201,223279,40212,6855,67,1323179,Africa,MOZ
Mauritania,59025,267,,,,982,57776,168972,12096,201,824558,Africa,MRT
South Sudan,17573,3921,,1,,138,13514,34531,1536,12,395064,Africa,SSD
Indonesia,6052764,2890,174,2771,12,156534,5893340,351904,21697,561,98171807,Asia,IDN
Taiwan,1386640,1212669,66283,,40,1436,172535,721794,58023,60,17249430,Asia,TWN
Kyrgyzstan,200993,1596,,131,,2991,196406,283514,29879,445,1907195,Asia,KGZ
India,43138393,14832,,698,,524459,42599102,602668,30691,373,847092226,Asia,IND
